Roll Number,Official School Name,Coeducational/Singlesex,Ethos,Language,County,School Planning Area,School Type,Patron,Households associated with the current pupils,Validated responses from parents with children in primary school,Response rate from parents with children in primary school,Overall margin of error associated with the current pupils,Preference for singlesex from parents with children in primary school,Preference for coeducational from parents with children in primary school,Preference for multidenominational from parents with children in primary school,Preference for denominational from parents with children in primary school,Preference for Irish from parents with children in primary school,Preference for English from parents with children in primary school,Preference for singlesex from parents with children in primary school (%),Preference for coeducational from parents with children in primary school (%),Preference for multidenominational from parents with children in primary school (%),Preference for denominational from parents with children in primary school (%),Preference for Irish from parents with children in primary school (%),Preference for English from parents with children in primary school (%),Validated responses from parents of children not yet in school,Preference for singlesex from parents of children not yet in school,Preference for coeducational from parents of children not yet in school,Preference for multidenominational from parents of children not yet in school,Preference for denominational from parents of children not yet in school,Preference for Irish from parents of children not yet in school,Preference for English from parents of children not yet in school,Preference for singlesex from parents of children not yet in school (%),Preference for coeducational from parents of children not yet in school (%),Preference for multidenominational from parents of children not yet in school (%),Preference for denominational from parents of children not yet in school (%),Preference for Irish from parents of children not yet in school (%),Preference for English from parents of children not yet in school (%)
20041C,Convent Of Mercy National School,Co educational,Denominational,English,Clare,Kilrush,Mainstream,Bishop of Killaloe,227,58,26%,11%,1,57,23,35,1,57,2%,98%,40%,60%,2%,98%,,,,,,,,,,,,,
19043W,New Quay Ns,Co educational,Denominational,English,Clare,Kinvara,Mainstream,"Bishop of Galway, Kilmacduagh & Kilfenora",21,9,43%,24%,0,9,5,4,1,8,0%,100%,56%,44%,11%,89%,,,,,,,,,,,,,
04548V,Scoil Seanain Naofa,Co educational,Denominational,English,Clare,Limerick City,Mainstream,Bishop of Killaloe,161,75,47%,9%,1,74,28,47,17,58,1%,99%,37%,63%,23%,77%,,,,,,,,,,,,,
16946D,Sn an Phairtin Mixed,Co educational,Denominational,English,Clare,Limerick City,Mainstream,Bishop of Limerick,222,91,41%,9%,0,91,34,57,14,77,0%,100%,37%,63%,15%,85%,40,1,39,20,20,6,34,3%,98%,50%,50%,15%,85%
18225A,S N Mhuire Miliuc,Co educational,Denominational,English,Clare,Limerick City,Mainstream,Bishop of Limerick,64,33,52%,14%,0,33,6,27,3,30,0%,100%,18%,82%,9%,91%,,,,,,,,,,,,,
13379C,S N Padraig Nfa Fanoir,Co educational,Denominational,English,Clare,Lisdoonvarna,Mainstream,"Bishop of Galway, Kilmacduagh & Kilfenora",16,8,50%,25%,0,8,3,5,1,7,0%,100%,38%,62%,12%,88%,,,,,,,,,,,,,
17517I,Doolin Mixed N S,Co educational,Denominational,English,Clare,Lisdoonvarna,Mainstream,"Bishop of Galway, Kilmacduagh & Kilfenora",63,17,27%,19%,1,16,6,11,5,12,6%,94%,35%,65%,29%,71%,,,,,,,,,,,,,
17633K,S N Eoin Baiste,Co educational,Denominational,English,Clare,Lisdoonvarna,Mainstream,"Bishop of Galway, Kilmacduagh & Kilfenora",19,7,37%,26%,0,7,5,2,0,7,0%,100%,71%,29%,0%,100%,,,,,,,,,,,,,
18190H,S N Cronain Nfa an Carn,Co educational,Denominational,English,Clare,Lisdoonvarna,Mainstream,"Bishop of Galway, Kilmacduagh & Kilfenora",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19700J,Lisdoonvarna N S,Co educational,Denominational,English,Clare,Lisdoonvarna,Mainstream,"Bishop of Galway, Kilmacduagh & Kilfenora",57,31,54%,14%,0,31,10,21,3,28,0%,100%,32%,68%,10%,90%,,,,,,,,,,,,,
02439G,S N Mhuire,Co educational,Denominational,English,Clare,Scariff,Mainstream,Bishop of Killaloe,42,22,52%,17%,0,22,6,16,7,15,0%,100%,27%,73%,32%,68%,,,,,,,,,,,,,
11990E,Bodyke N S,Co educational,Denominational,English,Clare,Scariff,Mainstream,Bishop of Killaloe,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14571W,Tomgraney N S,Co educational,Denominational,English,Clare,Scariff,Mainstream,Bishop of Killaloe,17,5,29%,30%,0,5,3,2,0,5,0%,100%,60%,40%,0%,100%,,,,,,,,,,,,,
15981A,Lakyle N S,Co educational,Denominational,English,Clare,Scariff,Mainstream,Bishop of Killaloe,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17563P,Ogonnelloe National School,Co educational,Denominational,English,Clare,Scariff,Mainstream,Bishop of Killaloe,70,31,44%,14%,0,31,17,14,5,26,0%,100%,55%,45%,16%,84%,,,,,,,,,,,,,
18109V,S N Inis Cealtrach,Co educational,Denominational,English,Clare,Scariff,Mainstream,Bishop of Killaloe,42,17,41%,19%,0,17,9,8,6,11,0%,100%,53%,47%,35%,65%,,,,,,,,,,,,,
19338S,Flagmount Central Ns,Co educational,Denominational,English,Clare,Scariff,Mainstream,Bishop of Killaloe,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19366A,Scariff Central N S,Co educational,Denominational,English,Clare,Scariff,Mainstream,Bishop of Killaloe,86,30,35%,14%,1,29,10,20,8,22,3%,97%,33%,67%,27%,73%,,,,,,,,,,,,,
20312H,Raheen Wood Community National School,Co educational,Multi denominational,English,Clare,Scariff,Mainstream,Limerick & Clare ETB,78,20,26%,17%,0,20,18,2,5,15,0%,100%,90%,10%,25%,75%,,,,,,,,,,,,,
04919H,Cratloe N S,Co educational,Denominational,English,Clare,Shannon,Mainstream,Bishop of Limerick,139,90,65%,9%,2,88,35,55,13,77,2%,98%,39%,61%,14%,86%,32,1,31,17,15,3,29,3%,97%,53%,47%,9%,91%
13870E,Kilkishen N S,Co educational,Denominational,English,Clare,Shannon,Mainstream,Bishop of Killaloe,85,30,35%,14%,1,29,7,23,5,25,3%,97%,23%,77%,17%,83%,,,,,,,,,,,,,
13942D,S N Cill Muire,Co educational,Denominational,English,Clare,Shannon,Mainstream,Bishop of Killaloe,45,18,40%,18%,0,18,9,9,5,13,0%,100%,50%,50%,28%,72%,,,,,,,,,,,,,
15350L,Stonehall N S,Co educational,Denominational,English,Clare,Shannon,Mainstream,Bishop of Killaloe,69,24,35%,16%,0,24,6,18,1,23,0%,100%,25%,75%,4%,96%,,,,,,,,,,,,,
16908S,Sixmilebridge N S,Co educational,Denominational,English,Clare,Shannon,Mainstream,Bishop of Killaloe,282,107,38%,8%,1,106,39,68,12,95,1%,99%,36%,64%,11%,89%,35,1,34,18,17,5,30,3%,97%,51%,49%,14%,86%
18032M,S N Cluain Muinge,Co educational,Denominational,English,Clare,Shannon,Mainstream,Bishop of Killaloe,133,66,50%,10%,1,65,29,37,9,57,2%,98%,44%,56%,14%,86%,,,,,,,,,,,,,
18526O,Ballycar N S,Co educational,Denominational,English,Clare,Shannon,Mainstream,Bishop of Killaloe,24,11,46%,22%,0,11,6,5,1,10,0%,100%,55%,45%,9%,91%,40,0,40,13,27,7,33,0%,100%,32%,68%,17%,82%
18739I,Shannon Airport 1 N S,Co educational,Denominational,English,Clare,Shannon,Mainstream,Bishop of Killaloe,87,37,43%,13%,1,36,15,22,1,36,3%,97%,41%,59%,3%,97%,,,,,,,,,,,,,
18740Q,Shannon Airport No 2 Ns,Co educational,Denominational,English,Clare,Shannon,Mainstream,"Bishop of Limerick, Killaloe & Ardfert COI",42,6,14%,28%,0,6,4,2,0,6,0%,100%,67%,33%,0%,100%,,,,,,,,,,,,,
19274S,St Conaires Ns,Co educational,Denominational,English,Clare,Shannon,Mainstream,Bishop of Killaloe,241,71,30%,10%,2,69,34,37,3,68,3%,97%,48%,52%,4%,96%,31,2,29,13,18,2,29,6%,94%,42%,58%,6%,94%
19552U,Naomh Tola,Co educational,Denominational,English,Clare,Shannon,Mainstream,Bishop of Killaloe,150,57,38%,11%,1,56,23,34,3,54,2%,98%,40%,60%,5%,95%,,,,,,,,,,,,,
19698C,St Aidans Ns,Co educational,Denominational,English,Clare,Shannon,Mainstream,Bishop of Killaloe,196,55,28%,11%,1,54,30,25,9,46,2%,98%,55%,45%,16%,84%,,,,,,,,,,,,,
19849U,Gaelscoil Donncha Rua,Co educational,Denominational,Irish,Clare,Shannon,Mainstream,Bishop of Killaloe,52,13,25%,21%,0,13,7,6,10,3,0%,100%,54%,46%,77%,23%,,,,,,,,,,,,,
20127M,Scoil na Maighdine Mhuire,Co educational,Denominational,English,Clare,Shannon,Mainstream,Bishop of Killaloe,165,62,38%,10%,0,62,28,34,11,51,0%,100%,45%,55%,18%,82%,,,,,,,,,,,,,
03928D,Mullach N S,Co educational,Denominational,English,Clare,Spanish Point,Mainstream,Bishop of Killaloe,18,8,44%,25%,0,8,0,8,1,7,0%,100%,0%,100%,12%,88%,,,,,,,,,,,,,
09390O,Rockmount Mixed N S,Co educational,Denominational,English,Clare,Spanish Point,Mainstream,Bishop of Killaloe,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09425H,Rineen N S,Co educational,Denominational,English,Clare,Spanish Point,Mainstream,Bishop of Killaloe,23,14,61%,20%,0,14,7,7,2,12,0%,100%,50%,50%,14%,86%,,,,,,,,,,,,,
13730L,Clohanes N S,Co educational,Denominational,English,Clare,Spanish Point,Mainstream,Bishop of Killaloe,15,5,33%,30%,0,5,1,4,0,5,0%,100%,20%,80%,0%,100%,,,,,,,,,,,,,
15221A,Annagh N S,Co educational,Denominational,English,Clare,Spanish Point,Mainstream,Bishop of Killaloe,52,24,46%,16%,1,23,7,17,3,21,4%,96%,29%,71%,12%,88%,,,,,,,,,,,,,
17020A,Quilty Ns,Co educational,Denominational,English,Clare,Spanish Point,Mainstream,Bishop of Killaloe,34,13,38%,21%,0,13,2,11,1,12,0%,100%,15%,85%,8%,92%,,,,,,,,,,,,,
17246D,S N Cluain an Atha,Co educational,Denominational,English,Clare,Spanish Point,Mainstream,Bishop of Killaloe,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18720K,Miltown Malbay B N S,Co educational,Denominational,English,Clare,Spanish Point,Mainstream,Bishop of Killaloe,88,27,31%,15%,1,26,9,18,8,19,4%,96%,33%,67%,30%,70%,,,,,,,,,,,,,
05253H,O Callaghans Mills N S,Co educational,Denominational,English,Clare,Tulla,Mainstream,Bishop of Killaloe,19,10,53%,23%,0,10,4,6,3,7,0%,100%,40%,60%,30%,70%,,,,,,,,,,,,,
20075T,St Mochullas N.s.,Co educational,Denominational,English,Clare,Tulla,Mainstream,Bishop of Killaloe,164,54,33%,11%,0,54,17,37,12,42,0%,100%,31%,69%,22%,78%,,,,,,,,,,,,,
20452A,Broadford & Kilbane National School,Co educational,Denominational,English,Clare,Tulla,Mainstream,Bishop of Killaloe,86,53,62%,11%,1,52,17,36,13,40,2%,98%,32%,68%,25%,75%,,,,,,,,,,,,,
12263B,Gogginshill N S,Co educational,Denominational,English,Cork,Ballincollig,Mainstream,Bishop of Cork & Ross,134,50,37%,11%,1,49,20,30,3,47,2%,98%,40%,60%,6%,94%,,,,,,,,,,,,,
12676D,Clogheen Mxd N S,Co educational,Denominational,English,Cork,Ballincollig,Mainstream,Bishop of Cork & Ross,126,59,47%,11%,1,58,20,39,5,54,2%,98%,34%,66%,8%,92%,42,1,41,25,17,9,33,2%,98%,60%,40%,21%,79%
17251T,Ovens N S,Co educational,Denominational,English,Cork,Ballincollig,Mainstream,Bishop of Cork & Ross,279,109,39%,8%,1,108,50,59,12,97,1%,99%,46%,54%,11%,89%,46,0,46,24,22,10,36,0%,100%,52%,48%,22%,78%
17754W,S N Naomh Eoin B,Single sex,Denominational,English,Cork,Ballincollig,Mainstream,Bishop of Cork & Ross,295,92,31%,9%,28,64,39,53,6,86,30%,70%,42%,58%,7%,93%,,,,,,,,,,,,,
17755B,Scoil Naomh Mhuire C,Single sex,Denominational,English,Cork,Ballincollig,Mainstream,Bishop of Cork & Ross,358,129,36%,7%,54,75,50,79,6,123,42%,58%,39%,61%,5%,95%,,,,,,,,,,,,,
18208A,Our Lady Of Good Counsel Ns,Co educational,Denominational,English,Cork,Ballincollig,Special School,Bishop of Cork & Ross,62,14,23%,20%,0,14,6,8,3,11,0%,100%,43%,57%,21%,79%,,,,,,,,,,,,,
18428O,S N Baile Nora,Co educational,Denominational,English,Cork,Ballincollig,Mainstream,Bishop of Cork & Ross,197,97,49%,8%,1,96,39,58,23,74,1%,99%,40%,60%,24%,76%,30,0,30,18,12,6,24,0%,100%,60%,40%,20%,80%
