Roll Number,Official School Name,Coeducational/Singlesex,Ethos,Language,County,School Planning Area,School Type,Patron,Households associated with the current pupils,Validated responses from parents with children in primary school,Response rate from parents with children in primary school,Overall margin of error associated with the current pupils,Preference for singlesex from parents with children in primary school,Preference for coeducational from parents with children in primary school,Preference for multidenominational from parents with children in primary school,Preference for denominational from parents with children in primary school,Preference for Irish from parents with children in primary school,Preference for English from parents with children in primary school,Preference for singlesex from parents with children in primary school (%),Preference for coeducational from parents with children in primary school (%),Preference for multidenominational from parents with children in primary school (%),Preference for denominational from parents with children in primary school (%),Preference for Irish from parents with children in primary school (%),Preference for English from parents with children in primary school (%),Validated responses from parents of children not yet in school,Preference for singlesex from parents of children not yet in school,Preference for coeducational from parents of children not yet in school,Preference for multidenominational from parents of children not yet in school,Preference for denominational from parents of children not yet in school,Preference for Irish from parents of children not yet in school,Preference for English from parents of children not yet in school,Preference for singlesex from parents of children not yet in school (%),Preference for coeducational from parents of children not yet in school (%),Preference for multidenominational from parents of children not yet in school (%),Preference for denominational from parents of children not yet in school (%),Preference for Irish from parents of children not yet in school (%),Preference for English from parents of children not yet in school (%)
01116A,Baile an Chuilinn N S,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,77,40,52%,13%,0,40,12,28,9,31,0%,100%,30%,70%,22%,78%,,,,,,,,,,,,,
01215C,Newtown Dunleckney Mxd,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,90,39,43%,13%,0,39,10,29,9,30,0%,100%,26%,74%,23%,77%,,,,,,,,,,,,,
02124E,Scoil Nais Molaise,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,84,48,57%,12%,0,48,16,32,8,40,0%,100%,33%,67%,17%,83%,,,,,,,,,,,,,
11135K,St Marys N S,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,"Bishop of Limerick, Killaloe & Ardfert COI",58,23,40%,16%,0,23,13,10,2,21,0%,100%,57%,43%,9%,91%,,,,,,,,,,,,,
13105L,St Bridgets Monastery Boys Senior School,Single sex,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,124,61,49%,10%,8,53,18,43,2,59,13%,87%,30%,70%,3%,97%,,,,,,,,,,,,,
17096K,S N Nmh Fhingin,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,24,9,38%,24%,0,9,4,5,3,6,0%,100%,44%,56%,33%,67%,,,,,,,,,,,,,
17796P,Our Lady's National School,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,16,11,69%,22%,0,11,4,7,4,7,0%,100%,36%,64%,36%,64%,,,,,,,,,,,,,
17994T,S N Fhoirtcheirn/Fhinin,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,66,36,55%,13%,0,36,11,25,5,31,0%,100%,31%,69%,14%,86%,,,,,,,,,,,,,
18183K,Queen Of Universe N S,Single sex,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,195,98,50%,8%,8,90,32,66,11,87,8%,92%,33%,67%,11%,89%,46,6,40,12,34,7,39,13%,87%,26%,74%,15%,85%
19784S,St Laserians Mxd Ns,Co educational,Denominational,English,Carlow,Bagenalstown,Mainstream,Bishop of Kildare & Leighlin,129,52,40%,11%,1,51,17,35,10,42,2%,98%,33%,67%,19%,81%,,,,,,,,,,,,,
00651R,Borris Mxd N S,Co educational,Denominational,English,Carlow,Borris,Mainstream,Bishop of Kildare & Leighlin,151,64,42%,10%,1,63,24,40,10,54,2%,98%,38%,62%,16%,84%,,,,,,,,,,,,,
09320Q,Scoil Nais Mhuire,Co educational,Denominational,English,Carlow,Borris,Mainstream,Bishop of Kildare & Leighlin,40,15,38%,20%,1,14,8,7,4,11,7%,93%,53%,47%,27%,73%,,,,,,,,,,,,,
17462J,Scoil Nais Mhichil,Co educational,Denominational,English,Carlow,Borris,Mainstream,Bishop of Kildare & Leighlin,30,15,50%,20%,0,15,4,11,1,14,0%,100%,27%,73%,7%,93%,,,,,,,,,,,,,
18510W,St Patrick's National School,Co educational,Denominational,English,Carlow,Borris,Mainstream,Bishop of Kildare & Leighlin,24,13,54%,21%,0,13,2,11,0,13,0%,100%,15%,85%,0%,100%,,,,,,,,,,,,,
15177A,Carrigduff Nat School,Co educational,Denominational,English,Carlow,Bunclody,Mainstream,"Bishop of Cashel, Ferns & Ossory COI",57,30,53%,14%,0,30,14,16,2,28,0%,100%,47%,53%,7%,93%,,,,,,,,,,,,,
18090D,S N Cill Damhain,Co educational,Denominational,English,Carlow,Bunclody,Mainstream,Bishop of Kildare & Leighlin,53,18,34%,18%,1,17,8,10,4,14,6%,94%,44%,56%,22%,78%,,,,,,,,,,,,,
16938E,Fr Cullen Memorial N S,Co educational,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,166,56,34%,11%,1,55,21,35,4,52,2%,98%,38%,62%,7%,93%,,,,,,,,,,,,,
17053P,Bishop Foley Memorial School Boys Snr Sch,Single sex,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,149,33,22%,14%,16,17,11,22,2,31,48%,52%,33%,67%,6%,94%,,,,,,,,,,,,,
17501Q,Bennekerry National School,Co educational,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,280,112,40%,8%,1,111,44,68,11,101,1%,99%,39%,61%,10%,90%,50,0,50,19,31,3,47,0%,100%,38%,62%,6%,94%
17756D,Ballinabranna Mxd N S,Co educational,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,127,44,35%,12%,0,44,13,31,6,38,0%,100%,30%,70%,14%,86%,,,,,,,,,,,,,
18363M,S N Muire Gan Smal,Single sex,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,285,71,25%,10%,36,35,24,47,10,61,51%,49%,34%,66%,14%,86%,,,,,,,,,,,,,
18424G,Scoil Nais Iosef Naofa,Single sex,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,98,25,26%,16%,5,20,10,15,3,22,20%,80%,40%,60%,12%,88%,,,,,,,,,,,,,
18615N,S N Ceatharlach,Co educational,Denominational,English,Carlow,Carlow,Mainstream,"Bishop of Cashel, Ferns & Ossory COI",98,33,34%,14%,0,33,16,17,5,28,0%,100%,48%,52%,15%,85%,,,,,,,,,,,,,
19315G,St Laserians Special Sc,Co educational,Denominational,English,Carlow,Carlow,Special School,Bishop of Kildare & Leighlin,137,26,19%,15%,2,24,13,13,5,21,8%,92%,50%,50%,19%,81%,,,,,,,,,,,,,
19811S,Gaelscoil Eoghain Uí Thuairisc,Co educational,Denominational,Irish,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,320,137,43%,7%,2,135,41,96,125,12,1%,99%,30%,70%,91%,9%,80,1,79,27,53,76,4,1%,99%,34%,66%,95%,5%
19958C,S N Naomh Fhiach,Co educational,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,418,132,32%,7%,4,128,28,104,14,118,3%,97%,21%,79%,11%,89%,38,0,38,6,32,3,35,0%,100%,16%,84%,8%,92%
20295K,Carlow Educate Together Ns,Co educational,Multi denominational,English,Carlow,Carlow,Mainstream,Educate Together,295,94,32%,8%,3,91,83,11,21,73,3%,97%,88%,12%,22%,78%,38,0,38,36,2,5,33,0%,100%,95%,5%,13%,87%
20370V,Saplings Carlow Special School,Co educational,Multi denominational,English,Carlow,Carlow,Special School,Sapling School Company Limited by Guarantee,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20592Q,Holy Family National School,Co educational,Denominational,English,Carlow,Carlow,Mainstream,Bishop of Kildare & Leighlin,432,72,17%,10%,9,63,33,39,6,66,12%,88%,46%,54%,8%,92%,,,,,,,,,,,,,
17330P,Scoil N MolingGlynn,Co educational,Denominational,English,Carlow,Graignamanagh,Mainstream,Bishop of Kildare & Leighlin,31,12,39%,21%,0,12,4,8,4,8,0%,100%,33%,67%,33%,67%,,,,,,,,,,,,,
17481N,St Brendans N S,Co educational,Denominational,English,Carlow,Graignamanagh,Mainstream,Bishop of Kildare & Leighlin,21,16,76%,19%,0,16,3,13,2,14,0%,100%,19%,81%,12%,88%,,,,,,,,,,,,,
17127S,St Josephs Ns,Co educational,Denominational,English,Carlow,Hacketstown,Mainstream,Bishop of Kildare & Leighlin,102,49,48%,11%,1,48,11,38,5,44,2%,98%,22%,78%,10%,90%,,,,,,,,,,,,,
17669I,S N Treasa Naomha,Co educational,Denominational,English,Carlow,Hacketstown,Mainstream,Bishop of Kildare & Leighlin,34,16,47%,19%,0,16,10,6,1,15,0%,100%,62%,38%,6%,94%,,,,,,,,,,,,,
00977B,Ballyconnell N S,Co educational,Denominational,English,Carlow,Tullow,Mainstream,Bishop of Kildare & Leighlin,99,35,35%,13%,1,34,13,22,8,27,3%,97%,37%,63%,23%,77%,,,,,,,,,,,,,
01415K,Rathoe Ns,Co educational,Denominational,English,Carlow,Tullow,Mainstream,Bishop of Kildare & Leighlin,123,46,37%,12%,1,45,10,36,5,41,2%,98%,22%,78%,11%,89%,,,,,,,,,,,,,
04077I,Scoil Nais Bhride,Co educational,Denominational,English,Carlow,Tullow,Mainstream,Bishop of Kildare & Leighlin,103,45,44%,12%,2,43,20,25,12,33,4%,96%,44%,56%,27%,73%,,,,,,,,,,,,,
13507I,S N Muire Lourdes,Single sex,Denominational,English,Carlow,Tullow,Mainstream,Bishop of Kildare & Leighlin,161,47,29%,12%,11,36,20,27,5,42,23%,77%,43%,57%,11%,89%,,,,,,,,,,,,,
13607M,St Columbas N S,Co educational,Denominational,English,Carlow,Tullow,Mainstream,"Bishop of Cashel, Ferns & Ossory COI",65,21,32%,17%,1,20,13,8,4,17,5%,95%,62%,38%,19%,81%,,,,,,,,,,,,,
14837L,S N Peadar agus Pol,Co educational,Denominational,English,Carlow,Tullow,Mainstream,Bishop of Kildare & Leighlin,103,41,40%,12%,0,41,19,22,9,32,0%,100%,46%,54%,22%,78%,,,,,,,,,,,,,
16080N,S N Phadraig Naofa,Single sex,Denominational,English,Carlow,Tullow,Mainstream,Bishop of Kildare & Leighlin,119,36,30%,13%,8,28,14,22,4,32,22%,78%,39%,61%,11%,89%,,,,,,,,,,,,,
17514C,S N Cluain na nGall,Co educational,Denominational,English,Carlow,Tullow,Mainstream,Bishop of Kildare & Leighlin,96,44,46%,12%,0,44,19,25,5,39,0%,100%,43%,57%,11%,89%,,,,,,,,,,,,,
17663T,St Patricks N S,Co educational,Denominational,English,Carlow,Tullow,Mainstream,Bishop of Kildare & Leighlin,135,67,50%,10%,1,66,17,50,6,61,1%,99%,25%,75%,9%,91%,,,,,,,,,,,,,
18024N,Scoil Muire Gan Smal,Co educational,Denominational,English,Carlow,Tullow,Mainstream,Bishop of Kildare & Leighlin,37,19,51%,18%,0,19,7,12,5,14,0%,100%,37%,63%,26%,74%,,,,,,,,,,,,,
18609S,S N Fiontain Naofa,Co educational,Denominational,English,Carlow,Tullow,Mainstream,Bishop of Kildare & Leighlin,24,13,54%,21%,0,13,4,9,2,11,0%,100%,31%,69%,15%,85%,,,,,,,,,,,,,
05627W,Bailieboro Model N S,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Minister for Education & Skills,54,18,33%,18%,0,18,8,10,4,14,0%,100%,44%,56%,22%,78%,,,,,,,,,,,,,
14211P,S N Lathrach 2,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Bishop of Meath,84,41,49%,12%,0,41,8,33,7,34,0%,100%,20%,80%,17%,83%,,,,,,,,,,,,,
14320U,Corlea N S,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Bishop of Meath,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14336M,Searcog I N S,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Bishop of Kilmore,126,59,47%,11%,1,58,19,40,9,50,2%,98%,32%,68%,15%,85%,,,,,,,,,,,,,
17240O,S N Tamhnach Dhuibh,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Bishop of Kilmore,57,29,51%,15%,0,29,8,21,4,25,0%,100%,28%,72%,14%,86%,,,,,,,,,,,,,
17531C,Baile na Mona,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Bishop of Kilmore,63,29,46%,15%,0,29,8,21,5,24,0%,100%,28%,72%,17%,83%,,,,,,,,,,,,,
17630E,S N Maodhog,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Bishop of Kilmore,31,15,48%,20%,1,14,6,9,2,13,7%,93%,40%,60%,13%,87%,,,,,,,,,,,,,
18059J,Bailieboro N S,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Bishop of Kilmore,207,88,43%,9%,2,86,28,60,13,75,2%,98%,32%,68%,15%,85%,,,,,,,,,,,,,
18564W,S N Leitir,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Bishop of Kilmore,121,72,60%,10%,1,71,15,57,14,58,1%,99%,21%,79%,19%,81%,,,,,,,,,,,,,
18833A,S N Lathrach,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Bishop of Kilmore,82,46,56%,12%,0,46,10,36,14,32,0%,100%,22%,78%,30%,70%,,,,,,,,,,,,,
19527V,Cabra Central N S,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Bishop of Meath & Kildare COI,42,21,50%,17%,1,20,11,10,2,19,5%,95%,52%,48%,10%,90%,,,,,,,,,,,,,
20134J,St Michaels N. S.,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Bishop of Kilmore,15,7,47%,26%,0,7,2,5,0,7,0%,100%,29%,71%,0%,100%,,,,,,,,,,,,,
20172R,St Josephs N S,Co educational,Denominational,English,Cavan,Bailieborough,Mainstream,Bishop of Meath,268,101,38%,8%,1,100,34,67,16,85,1%,99%,34%,66%,16%,84%,38,2,36,13,25,5,33,5%,95%,34%,66%,13%,87%
06998Q,St Patrick's Ns,Co educational,Denominational,English,Cavan,Ballinamore,Mainstream,Bishop of Kilmore,30,18,60%,18%,0,18,3,15,6,12,0%,100%,17%,83%,33%,67%,,,,,,,,,,,,,
01356U,Kilnaleck Mixed N S,Co educational,Denominational,English,Cavan,Ballyjamesduff,Mainstream,Bishop of Kilmore,49,16,33%,19%,0,16,6,10,5,11,0%,100%,38%,62%,31%,69%,,,,,,,,,,,,,
12099O,Billis N S,Co educational,Denominational,English,Cavan,Ballyjamesduff,Mainstream,Bishop of Kilmore Elphin & Ardagh COI,54,23,43%,16%,0,23,11,12,3,20,0%,100%,48%,52%,13%,87%,,,,,,,,,,,,,
14732U,Scoil Bhride,Co educational,Denominational,English,Cavan,Ballyjamesduff,Mainstream,Bishop of Meath,41,21,51%,17%,1,20,2,19,4,17,5%,95%,10%,90%,19%,81%,,,,,,,,,,,,,
18355N,Aughadreena National School,Co educational,Denominational,English,Cavan,Ballyjamesduff,Mainstream,Bishop of Kilmore,45,20,44%,17%,0,20,2,18,3,17,0%,100%,10%,90%,15%,85%,,,,,,,,,,,,,
19202Q,Drumkilly Ns,Co educational,Denominational,English,Cavan,Ballyjamesduff,Mainstream,Bishop of Kilmore,55,31,56%,14%,0,31,10,21,9,22,0%,100%,32%,68%,29%,71%,,,,,,,,,,,,,
19378H,Ballynarry N S,Co educational,Denominational,English,Cavan,Ballyjamesduff,Mainstream,Bishop of Ardagh & Clonmacnoise,23,10,44%,23%,0,10,3,7,2,8,0%,100%,30%,70%,20%,80%,,,,,,,,,,,,,
19418Q,Castlerahan Central Ns,Co educational,Denominational,English,Cavan,Ballyjamesduff,Mainstream,Bishop of Kilmore,65,22,34%,17%,0,22,10,12,10,12,0%,100%,45%,55%,45%,55%,,,,,,,,,,,,,
19432K,Crosskeys Central N S,Co educational,Denominational,English,Cavan,Ballyjamesduff,Mainstream,Bishop of Kilmore,72,37,51%,13%,0,37,7,30,3,34,0%,100%,19%,81%,8%,92%,,,,,,,,,,,,,
19596R,Crosserlough N S,Co educational,Denominational,English,Cavan,Ballyjamesduff,Mainstream,Bishop of Kilmore,59,36,61%,13%,0,36,7,29,4,32,0%,100%,19%,81%,11%,89%,,,,,,,,,,,,,
19983B,St Clares Ns,Co educational,Denominational,English,Cavan,Ballyjamesduff,Mainstream,Bishop of Kilmore,282,64,23%,10%,0,64,24,40,4,60,0%,100%,38%,62%,6%,94%,,,,,,,,,,,,,
08143P,S N Mhuire,Co educational,Denominational,English,Cavan,Bawnboy,Mainstream,Bishop of Kilmore,13,5,39%,30%,0,5,3,2,0,5,0%,100%,60%,40%,0%,100%,,,,,,,,,,,,,
11409V,Ballyconell Central N S,Co educational,Denominational,English,Cavan,Bawnboy,Mainstream,Bishop of Kilmore Elphin & Ardagh COI,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16093W,Ballyconnell Mxd N S,Co educational,Denominational,English,Cavan,Bawnboy,Mainstream,Bishop of Kilmore,149,34,23%,14%,1,33,12,22,7,27,3%,97%,35%,65%,21%,79%,,,,,,,,,,,,,
17440W,S N Naomh Maodhog,Co educational,Denominational,English,Cavan,Bawnboy,Mainstream,Bishop of Kilmore,43,23,54%,16%,1,22,4,19,2,21,4%,96%,17%,83%,9%,91%,,,,,,,,,,,,,
19679V,S N Aodhain Naofa,Co educational,Denominational,English,Cavan,Bawnboy,Mainstream,Bishop of Kilmore,48,12,25%,21%,0,12,2,10,4,8,0%,100%,17%,83%,33%,67%,,,,,,,,,,,,,
08948L,Milltown N S,Co educational,Denominational,English,Cavan,Belturbet,Mainstream,Bishop of Kilmore,113,35,31%,13%,0,35,15,20,2,33,0%,100%,43%,57%,6%,94%,,,,,,,,,,,,,
13271F,Fairgreen N S,Co educational,Denominational,English,Cavan,Belturbet,Mainstream,Bishop of Kilmore Elphin & Ardagh COI,24,9,38%,24%,0,9,4,5,0,9,0%,100%,44%,56%,0%,100%,,,,,,,,,,,,,
15452T,Kildallon N S,Co educational,Denominational,English,Cavan,Belturbet,Mainstream,Bishop of Kilmore,29,15,52%,20%,0,15,6,9,1,14,0%,100%,40%,60%,7%,93%,,,,,,,,,,,,,
16057S,Convent Of Mercy N S,Single sex,Denominational,English,Cavan,Belturbet,Mainstream,Bishop of Kilmore,123,51,42%,11%,5,46,14,37,8,43,10%,90%,27%,73%,16%,84%,,,,,,,,,,,,,
17230L,Scoil Naomh Brid,Co educational,Denominational,English,Cavan,Belturbet,Mainstream,Bishop of Kilmore,72,39,54%,13%,1,38,9,30,11,28,3%,97%,23%,77%,28%,72%,,,,,,,,,,,,,
18127A,Sn Mhuire Boys Senior School,Single sex,Denominational,English,Cavan,Belturbet,Mainstream,Bishop of Kilmore,66,27,41%,15%,5,22,11,16,5,22,19%,81%,41%,59%,19%,81%,,,,,,,,,,,,,
18346M,S N Greach Rathain,Co educational,Denominational,English,Cavan,Belturbet,Mainstream,Bishop of Kilmore,45,17,38%,19%,0,17,8,9,1,16,0%,100%,47%,53%,6%,94%,,,,,,,,,,,,,
11205F,Killeshandra National School ( C Of I),Co educational,Denominational,English,Cavan,Carrigallen,Mainstream,Bishop of Kilmore Elphin & Ardagh COI,33,11,33%,22%,0,11,7,4,2,9,0%,100%,64%,36%,18%,82%,,,,,,,,,,,,,
16390F,Scoil Bhride,Co educational,Denominational,English,Cavan,Carrigallen,Mainstream,Bishop of Kilmore,57,33,58%,14%,2,31,6,27,6,27,6%,94%,18%,82%,18%,82%,,,,,,,,,,,,,
08453H,S N Cruabanai,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,128,45,35%,12%,0,45,15,30,3,42,0%,100%,33%,67%,7%,93%,,,,,,,,,,,,,
08490N,St Clares Primary School,Single sex,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,435,92,21%,9%,16,76,40,52,7,85,17%,83%,43%,57%,8%,92%,105,12,93,44,61,16,89,11%,89%,42%,58%,15%,85%
10146K,Corliss N S,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,12,8,67%,25%,0,8,5,3,0,8,0%,100%,62%,38%,0%,100%,,,,,,,,,,,,,
11517B,Cavan 1 N S,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore Elphin & Ardagh COI,71,16,23%,19%,1,15,9,7,0,16,6%,94%,56%,44%,0%,100%,,,,,,,,,,,,,
11541V,Dromaili S N,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,154,53,34%,11%,1,52,24,29,7,46,2%,98%,45%,55%,13%,87%,,,,,,,,,,,,,
14073G,Castletara N S,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,124,54,44%,11%,2,52,22,32,7,47,4%,96%,41%,59%,13%,87%,,,,,,,,,,,,,
14399N,Killygarry N S,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,137,58,42%,11%,1,57,20,38,6,52,2%,98%,34%,66%,10%,90%,,,,,,,,,,,,,
15120R,Killyconnan N S,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,45,9,20%,24%,0,9,3,6,3,6,0%,100%,33%,67%,33%,67%,,,,,,,,,,,,,
16921K,S N Beal Atha na Neach,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,159,52,33%,11%,0,52,20,32,7,45,0%,100%,38%,62%,13%,87%,,,,,,,,,,,,,
17326B,Sn Naomh Feidhlim Boys Snr Sch,Single sex,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,244,73,30%,10%,14,59,32,41,3,70,19%,81%,44%,56%,4%,96%,,,,,,,,,,,,,
17479D,Scoil Mhuire,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,54,19,35%,18%,0,19,5,14,7,12,0%,100%,26%,74%,37%,63%,,,,,,,,,,,,,
17780A,Ballyhaise N S,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,104,44,42%,12%,0,44,17,27,3,41,0%,100%,39%,61%,7%,93%,,,,,,,,,,,,,
17990L,S N Drom Cnamh,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,34,10,29%,23%,0,10,0,10,2,8,0%,100%,0%,100%,20%,80%,,,,,,,,,,,,,
18518P,S N Corr Lorgan,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,50,26,52%,15%,1,25,6,20,5,21,4%,96%,23%,77%,19%,81%,,,,,,,,,,,,,
19322D,Kilmore Central N S,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore Elphin & Ardagh COI,34,9,27%,24%,0,9,5,4,2,7,0%,100%,56%,44%,22%,78%,,,,,,,,,,,,,
19326L,Butlersbridge Ns,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,182,39,21%,13%,1,38,19,20,3,36,3%,97%,49%,51%,8%,92%,,,,,,,,,,,,,
19568M,St Patricks,Co educational,Denominational,English,Cavan,Cavan,Mainstream,Bishop of Kilmore,39,11,28%,22%,0,11,6,5,3,8,0%,100%,55%,45%,27%,73%,,,,,,,,,,,,,
20026G,Gaelscoil Bhreifne,Co educational,Multi denominational,Irish,Cavan,Cavan,Mainstream,An Foras Pátrúnachta,141,49,35%,11%,1,48,34,15,39,10,2%,98%,69%,31%,80%,20%,32,1,31,23,9,32,0,3%,97%,72%,28%,100%,0%
12312L,Darley N S,Co educational,Multi denominational,English,Cavan,Cootehill,Mainstream,Joint patronage between Bishop of Kilmore Elphin & Ardagh COI and the Presbyterian Moderator,91,21,23%,17%,0,21,11,10,1,20,0%,100%,52%,48%,5%,95%,,,,,,,,,,,,,
16520P,St Mary's N.s.,Co educational,Denominational,English,Cavan,Cootehill,Mainstream,Bishop of Kilmore,16,,,,,,,,,,,,,,,,54,1,53,18,36,12,42,2%,98%,33%,67%,22%,78%
17601U,S N Doire na Ceise,Co educational,Denominational,English,Cavan,Cootehill,Mainstream,Bishop of Kilmore,92,47,51%,12%,1,46,9,38,8,39,2%,98%,19%,81%,17%,83%,,,,,,,,,,,,,
18340A,S N Padraig,Co educational,Denominational,English,Cavan,Cootehill,Mainstream,Bishop of Kilmore,23,7,30%,26%,0,7,2,5,2,5,0%,100%,29%,71%,29%,71%,,,,,,,,,,,,,
19285A,Kill N S,Co educational,Denominational,English,Cavan,Cootehill,Mainstream,Bishop of Kilmore,70,33,47%,14%,0,33,10,23,5,28,0%,100%,30%,70%,15%,85%,,,,,,,,,,,,,
19439B,Holy Family S S,Co educational,Multi denominational,English,Cavan,Cootehill,Special School,Named Individual,129,33,26%,14%,1,32,19,14,3,30,3%,97%,58%,42%,9%,91%,,,,,,,,,,,,,
19921C,Drung No 2 Ns,Co educational,Denominational,English,Cavan,Cootehill,Mainstream,Bishop of Kilmore Elphin & Ardagh COI,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20277I,St Michaels National School,Co educational,Denominational,English,Cavan,Cootehill,Mainstream,Bishop of Kilmore,181,49,27%,11%,0,49,15,34,7,42,0%,100%,31%,69%,14%,86%,30,0,30,7,23,7,23,0%,100%,23%,77%,23%,77%
16959M,S N Corrabha,Co educational,Denominational,English,Cavan,Drumkeerin,Mainstream,Bishop of Kilmore,11,6,55%,28%,0,6,3,3,0,6,0%,100%,50%,50%,0%,100%,,,,,,,,,,,,,
13203L,St Patricks Mxd N S,Co educational,Denominational,English,Cavan,Granard,Mainstream,Bishop of Ardagh & Clonmacnoise,62,36,58%,13%,0,36,14,22,6,30,0%,100%,39%,61%,17%,83%,,,,,,,,,,,,,
19363R,Mullahoran Central N S,Co educational,Denominational,English,Cavan,Granard,Mainstream,Bishop of Ardagh & Clonmacnoise,97,50,52%,11%,0,50,10,40,7,43,0%,100%,20%,80%,14%,86%,,,,,,,,,,,,,
19871N,St Patricks N S,Co educational,Denominational,English,Cavan,Manorhamilton,Mainstream,Bishop of Kilmore,42,8,19%,25%,0,8,6,2,3,5,0%,100%,75%,25%,38%,62%,,,,,,,,,,,,,
16316Q,St Marys N S,Co educational,Denominational,English,Cavan,Moyne,Mainstream,Bishop of Kilmore,76,41,54%,12%,1,40,18,23,7,34,2%,98%,44%,56%,17%,83%,34,0,34,10,24,6,28,0%,100%,29%,71%,18%,82%
16767D,Coronea N S,Co educational,Denominational,English,Cavan,Moyne,Mainstream,Bishop of Kilmore,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17625L,Cnoc an Teampaill,Co educational,Denominational,English,Cavan,Oldcastle,Mainstream,Bishop of Kilmore,98,38,39%,13%,0,38,14,24,5,33,0%,100%,37%,63%,13%,87%,,,,,,,,,,,,,
15502I,Killinkere N S,Co educational,Denominational,English,Cavan,Virginia,Mainstream,Bishop of Kilmore,98,71,72%,10%,1,70,23,48,4,67,1%,99%,32%,68%,6%,94%,,,,,,,,,,,,,
16083T,Virginia Mxd N S,Co educational,Denominational,English,Cavan,Virginia,Mainstream,Bishop of Kilmore,311,124,40%,7%,1,123,56,68,23,101,1%,99%,45%,55%,19%,81%,,,,,,,,,,,,,
18393V,S N Cillin,Co educational,Denominational,English,Cavan,Virginia,Mainstream,Bishop of Kilmore,59,39,66%,13%,0,39,16,23,6,33,0%,100%,41%,59%,15%,85%,,,,,,,,,,,,,
18857O,S N Carraig a Bruis,Co educational,Denominational,English,Cavan,Virginia,Mainstream,Bishop of Kilmore,76,32,42%,14%,0,32,15,17,4,28,0%,100%,47%,53%,12%,88%,,,,,,,,,,,,,
19608V,St Killians N S,Co educational,Denominational,English,Cavan,Virginia,Mainstream,Bishop of Kilmore,221,89,40%,9%,0,89,30,59,26,63,0%,100%,34%,66%,29%,71%,37,0,37,21,16,7,30,0%,100%,57%,43%,19%,81%
